id,wikidata,display_name,level,description,works_count,cited_by_count,image_url,image_thumbnail_url,works_api_url,updated_date
2781442239,420669,Ferroin,3,chemical compound,0,0,wikipedia/commons/5/59/Ferroin-cation-3D-balls.png,wikipedia/commons/thumb/5/59/Ferroin-cation-3D-balls.png/93px-Ferroin-cation-3D-balls.png,2781442239,2023-06-07
2781460488,16966324,Intravenous leiomyomatosis,3,Human disease,0,0,wikipedia/commons/f/f5/IntravascularLeiomyoma.jpg,wikipedia/commons/thumb/f/f5/IntravascularLeiomyoma.jpg/100px-IntravascularLeiomyoma.jpg,2781460488,2023-06-07
2908793008,165354,Citrus aurantifolia,3,"species of plant, Key lime",0,0,wikipedia/commons/c/c9/Ripekeylime.jpg,wikipedia/commons/thumb/c/c9/Ripekeylime.jpg/100px-Ripekeylime.jpg,2908793008,2023-06-07
2909387136,133076,Parastomal hernia,3,abnormal exit of tissue or an organ through the wall of the cavity in which it normally resides,0,0,wikipedia/commons/1/11/Inguinalhernia.gif,wikipedia/commons/thumb/1/11/Inguinalhernia.gif/93px-Inguinalhernia.gif,2909387136,2023-06-07
2909447094,27095725,Ginsenoside Rb1,5,chemical compound,0,0,wikipedia/commons/8/8a/Ginsenoside_Rb1.png,wikipedia/commons/thumb/8/8a/Ginsenoside_Rb1.png/100px-Ginsenoside_Rb1.png,2909447094,2023-06-07
2910009623,1164991,Textile dye,3,"process of adding color to textile products like fibers, yarns, and fabrics",0,0,wikipedia/commons/3/30/Dyeing_%%28Yarn%%29.jpg,wikipedia/commons/thumb/3/30/Dyeing_%%28Yarn%%29.jpg/75px-Dyeing_%%28Yarn%%29.jpg,2910009623,2023-06-07
2911188655,12457,Nursing unit,2,"system of units, based on the International System of Quantities, their names and symbols, including a series of prefixes and their names and symbols, together with rules for their use (International Vocabulary of Metrology)",0,0,wikipedia/commons/3/3c/SI_Illustration_Base_Units_and_Constants_Colour_Full.svg,wikipedia/commons/thumb/3/3c/SI_Illustration_Base_Units_and_Constants_Colour_Full.svg/100px-SI_Illustration_Base_Units_and_Constants_Colour_Full.svg.png,2911188655,2023-06-07
2983632452,7047723,Spectral subtraction,4,,0,0,,,2983632452,2023-06-07
2992064113,1775665,Beta band,3,Scottish band,0,0,,,2992064113,2023-06-07
2992553096,8038545,Expressive writing,3,Text composition-based technique for self-guided improvement of affective state,0,0,wikipedia/commons/7/7b/Fountain_pen_writing_%28literacy%29.jpg,wikipedia/commons/thumb/7/7b/Fountain_pen_writing_%28literacy%29.jpg/100px-Fountain_pen_writing_%28literacy%29.jpg,2992553096,2023-06-07
3017515992,127418,Printing ink,3,liquid or paste that contains pigments or dyes,0,0,wikipedia/commons/3/38/F%C3%BCller-tinte_hg.jpg,wikipedia/commons/thumb/3/38/F%C3%BCller-tinte_hg.jpg/100px-F%C3%BCller-tinte_hg.jpg,3017515992,2023-06-07
3020659265,2782326,Clinical vignette,2,"detailed medical report on the symptoms, signs, diagnosis, treatment, and follow-up of an individual patient",0,0,,,3020659265,2023-06-07
34566666,13464614,Ceramic art,3,"art objects such as figures, tiles, and tableware made from clay and other raw materials by the process of pottery",0,0,wikipedia/commons/a/a7/Etruscan_amphora_Louvre_E703_side_B.jpg,wikipedia/commons/thumb/a/a7/Etruscan_amphora_Louvre_E703_side_B.jpg/71px-Etruscan_amphora_Louvre_E703_side_B.jpg,34566666,2023-06-07
51201719,2124480,ROMK,3,mammalian protein found in Homo sapiens,0,0,wikipedia/commons/4/4e/Ideogram_human_chromosome_11.svg,wikipedia/commons/thumb/4/4e/Ideogram_human_chromosome_11.svg/100px-Ideogram_human_chromosome_11.svg.png,51201719,2023-06-07
55381615,837488,Swift Gamma-Ray Burst Mission,4,mission concerning a space observatory in low earth orbit measuring gamma ray radiation,0,0,wikipedia/commons/c/c2/Swift_Observatory_spacecraft_model.png,wikipedia/commons/thumb/c/c2/Swift_Observatory_spacecraft_model.png/100px-Swift_Observatory_spacecraft_model.png,55381615,2023-06-07
