source_id,openalex,issn_l,issn,mag,wikidata,fatcat
147018782,147018782,,,147018782.0,96331379.0,
4210168614,4210168614,0214-8676,"[""0214-8676"", ""2386-4702""]",,96706648.0,
4306513217,4306513217,,,,,
71257975,71257975,0895-4852,"[""1936-4709"", ""0895-4852""]",71257975.0,,
2764796285,2764796285,,,2764796285.0,,
4306464186,4306464186,,,,,
2764775394,2764775394,,,2764775394.0,,
42309995,42309995,,,42309995.0,,
2764886562,2764886562,1082-5754,"[""1082-5754""]",2764886562.0,,
189387231,189387231,1235-4481,"[""1235-4481"", ""1459-9465""]",189387231.0,15710168.0,
4306477421,4306477421,,,,,
88241336,88241336,1687-7985,"[""1687-7985"", ""1687-7993""]",88241336.0,15760331.0,
97764784,97764784,,,97764784.0,15753976.0,
2764774554,2764774554,1521-9747,"[""1521-9747""]",2764774554.0,7644511.0,container/qfomjhxa4zdyjhvcypojoclli4
4306520717,4306520717,0391-9749,"[""0391-9749""]",,15755603.0,
4306527732,4306527732,1405-6666,"[""1405-6666""]",,56887172.0,
184238924,184238924,0081-0606,"[""0081-0606""]",184238924.0,2296784.0,container/wcwbwaxb2zbazjf7rbix3r2lze
4306527046,4306527046,,,,,
2764349506,2764349506,2157-7633,"[""2157-7633""]",2764349506.0,27724325.0,container/wyeicq6lp5fs3fob3ttupixkey
2764855957,2764855957,0451-212X,"[""0451-212X""]",2764855957.0,113476775.0,container/rkmbgguhqbeh5be6oqv5amusom
46771824,46771824,0741-9457,"[""0741-9457""]",46771824.0,8047397.0,
76832692,76832692,0049-4763,"[""0049-4763""]",76832692.0,7845799.0,container/3ynqyr3tx5bqxki7qnwxuwtyxy
2764823877,2764823877,0975-7384,"[""0975-7384""]",2764823877.0,27723651.0,container/45v4kh3m6fdh3hblduicrshsdu
2765060474,2765060474,,,2765060474.0,,
2764403519,2764403519,,,2764403519.0,,
2764360835,2764360835,1712-8056,"[""1712-8056"", ""1923-6697""]",2764360835.0,96579977.0,
136786980,136786980,0042-5206,"[""1530-7190"", ""0042-5206""]",136786980.0,15764088.0,
2764475419,2764475419,0972-1061,"[""0972-1061""]",2764475419.0,,container/2wrz7ostzfc7dmgils4jdmbgvq
4306501475,4306501475,0188-7017,"[""0188-7017"", ""2448-850X""]",,96700051.0,
4210217042,4210217042,0258-0330,"[""0258-0330""]",,27710580.0,container/6sc56bmdhjdrzgyr6n2wfyzkku
96186809,96186809,0362-8949,"[""0362-8949"", ""2324-6502""]",96186809.0,26849520.0,
2764445321,2764445321,1529-8957,"[""1529-8957""]",2764445321.0,,container/6sp7otjkavgcdkk2nizy4zex6e
4210188669,4210188669,1473-4869,"[""1473-4869"", ""2051-4220""]",,96716516.0,
974969521,974969521,1230-6169,"[""1230-6169""]",974969521.0,96326587.0,container/g4o76ewsabdgjd2kd75msabzk4
137403304,137403304,1537-6370,"[""1558-5271"", ""1537-6370""]",137403304.0,,
4306477627,4306477627,,,,,
2764707925,2764707925,1077-9124,"[""1077-9124""]",2764707925.0,108279942.0,
2764922509,2764922509,0034-0502,"[""0034-0502"", ""2642-8857""]",2764922509.0,15754915.0,
158189712,158189712,1135-5948,"[""1135-5948""]",158189712.0,38994182.0,
199075998,199075998,0003-5696,"[""0003-5696"", ""1613-0421""]",199075998.0,576066.0,
4306462910,4306462910,,,,,
4210177652,4210177652,2072-3202,"[""2072-3202"", ""2617-6742""]",,,
4210217742,4210217742,0090-7790,"[""0090-7790"", ""2326-0890""]",,29043797.0,
2764504601,2764504601,,,2764504601.0,,
2764508331,2764508331,0034-6616,"[""0034-6616""]",2764508331.0,96331548.0,container/rpnizsmhpbfr5cy2f7n6nckpfm
4306508865,4306508865,,,,,
2737588985,2737588985,2081-139X,"[""2392-0629"", ""2081-139X""]",2737588985.0,,
119709983,119709983,0006-9698,"[""0006-9698"", ""1938-2979""]",119709983.0,,
4306509411,4306509411,,,,,
116485746,116485746,0373-6385,"[""0373-6385"", ""1883-2172""]",116485746.0,53952485.0,
2764503789,2764503789,2308-4898,"[""2308-4898""]",2764503789.0,96703639.0,
4210227035,4210227035,2308-4898,"[""2308-4898""]",,96703639.0,container/h4dvdcshi5ecfjpfa42nzbjbfa
2736400552,2736400552,1415-2150,"[""1415-2150"", ""1983-2117""]",2736400552.0,50516591.0,
4210222644,4210222644,0374-6534,"[""0374-6534""]",,96329008.0,container/gfbwgr7tvjdw5kwito25l4idoi
