work_id,concept_id,score
2051150319,121332964,0.96292233
2051150319,200006409,0.80971247
2051150319,201941533,0.77176857
2051150319,109214941,0.7532345
2051150319,2776887932,0.75142735
2051150319,106033101,0.5929241999999999
2051150319,67820243,0.45627135
2051150319,46460574,0.41783023
2051150319,185544564,0.41307825
2051150319,199539241,0.05401677
2051150319,17744445,0.0
2051151246,2780069185,0.80221677
2051151246,33923547,0.6345183000000001
2051151246,202444582,0.5148575
2051151246,114614502,0.3679312
2051151286,71924100,0.8696368
2051151286,2777681105,0.8189869000000001
2051151286,555293320,0.4845186999999999
2051151286,66938386,0.09436923
2051151286,134018914,0.090444386
2051151286,127413603,0.07389307
2051151295,135135165,0.8251823
2051151295,41008148,0.7522768
2051151295,164916973,0.6838916
2051151295,48145219,0.6506784000000001
2051151295,19768560,0.6380281999999999
2051151295,57041688,0.61698043
2051151295,12303254,0.6089981
2051151295,46451311,0.47245243
2051151295,2780378061,0.47065392
2051151295,123657996,0.45764914
2051151295,120314980,0.41973087
2051151295,31258907,0.40371448
2051151295,79403827,0.32612157
2051151295,5119721,0.1847142
2051151295,154945302,0.15272608
2051151295,35578498,0.15205237
2051151295,136764020,0.077177495
2051151295,142362112,0.0
2051151295,201100257,0.0
2051151295,136264566,0.0
2051151295,158379750,0.0
2051151295,162324750,0.0
2051151295,153349607,0.0
2051151742,56318395,0.8024359000000001
2051151742,208081375,0.5053728
2051151742,24890656,0.49329084
2051151742,41008148,0.33533406
2051151742,121332964,0.2737359
2051151742,62520636,0.0
2051151957,71924100,0.97653854
2051151957,2779863674,0.7536328
2051151957,61434518,0.47502548
2051151957,141071460,0.3529539
2051151957,2778655861,0.16181386
2051151957,2777085111,0.15593687
2051152012,142362112,0.5027765999999999
2051152012,52119013,0.38900512
2051152183,113324615,0.8040457
2051152183,2779235478,0.5394398
2051152183,169093310,0.5112469000000001
2051152183,136764020,0.50157523
2051152183,41008148,0.50119543
2051152183,108827166,0.48994583
2051152183,2778720087,0.48541722
2051152183,38652104,0.1907211
2051152183,138885662,0.0
2051152183,41895202,0.0
2051152183,199360897,0.0
2051152443,103486182,0.7053961
2051152443,151376022,0.6891181
2051152443,2776029896,0.4954654
2051152443,33923547,0.4742079
2051152443,185592680,0.42734212
2051152443,134306372,0.3533489
2051152443,121332964,0.32930115
2051152443,126322002,0.11463499
2051152443,71924100,0.08828077
2051152928,71924100,0.57660997
2051152928,2776344049,0.5326141
2051152928,29456083,0.45479184
2051152928,142724271,0.12652442
2051153189,143128703,0.46654817
2051153189,95457728,0.437432
2051153189,74916050,0.42597783
2051153189,199539241,0.36625165
2051153189,195244886,0.35626578
2051153189,17744445,0.24481517
2051153521,94625758,0.71950275
2051153521,118084267,0.4710619
2051153521,111472728,0.4631706
2051153521,144024400,0.44202322
2051153521,190253527,0.41502088
2051153521,17744445,0.3660062
2051153521,138885662,0.3081565
2051153521,162324750,0.28175962
2051153521,199539241,0.19554684
2051153866,55359492,0.93102145
2051153866,38349280,0.53667814
2051153866,33923547,0.40153998
2051153866,57879066,0.3999881
2051153866,199539241,0.36163267
2051153866,192562407,0.35250255
2051153866,127313418,0.3305518
2051153866,66938386,0.30562305
2051153866,202973686,0.22329634
2051153866,127413603,0.21902314
2051153866,2524010,0.19820994
2051153866,17744445,0.14987549
2051153866,121332964,0.14709762
2051153866,135628077,0.09819925
2051154505,2776291640,0.6003474
2051154505,162696548,0.52194804
2051154505,162324750,0.46184725
2051154505,144133560,0.4045881
2051154505,34447519,0.36113304
2051154505,136264566,0.32058468
