id,orcid,display_name,display_name_alternatives,works_count,cited_by_count,last_known_institution,works_api_url,updated_date
5005097293,,J. Perrier,"[""Jacques Perrier"", ""J.C. Perrier"", ""J.‐C. Perrier"", ""J.C Perrier"", ""J. Perrier""]",136,4764,106785703.0,5005097293,2024-02-21T09:31:00.363003
5023846504,0000-0002-5545-2595,G. Y. Yin,"[""Guang‐Yu Yin"", ""G. Y. Yin"", ""Guangyu Yin"", ""Guanchao Yin"", ""G. Yin"", ""Guoyawen Yin""]",113,4752,196699116.0,5023846504,2024-02-21T15:29:20.731701
5058691660,,S. A. Morrow,"[""S. A. Morrow"", ""S. Morrow""]",101,4752,103163165.0,5058691660,2024-02-21T10:12:47.372730
5083399969,0000-0002-8463-3168,J. C. Corchado,"[""Corchado Jc"", ""José Carlos Corchado"", ""Jose C. Corchado"", ""José C. Corchado"", ""José Corchado"", ""J. C. Corchado"", ""Jose Carlos Corchado"", ""Jose Corchado"", ""J. Corchado"", ""and José C. Corchado""]",130,4740,80606768.0,5083399969,2024-02-21T16:32:23.166491
5056986606,0000-0002-1215-1493,Jean-Pierre Rabès,"[""Rabès Jp"", ""Jean P Rabès"", ""J.‐P. Rabès"", ""Jean Pierre Rabès"", ""Jean‐Pierre Rabès"", ""J.P. Rabès""]",47,4739,277688954.0,5056986606,2024-02-21T05:52:44.936789
5090456925,,J. P. Heppner,"[""J. P. Heppner"", ""James P. Heppner""]",93,4730,4210135298.0,5090456925,2024-02-21T13:40:10.281115
5005617701,,R. Guy Kraines,"[""R. Guy Kraines"", ""R G Kraines""]",8,4705,97018004.0,5005617701,2024-02-21T16:53:51.851411
5007428634,,Wendy A. Gattis,"[""W Gattis"", ""Wendy Gattis"", ""W. A. Gattis"", ""Wendy A. Gattis"", ""W.A Gattis""]",97,4705,4210088741.0,5007428634,2024-02-21T02:45:41.066465
5075723628,0000-0002-7892-8007,C. A. Stein,"[""Christian Stein"", ""Christian A. Stein"", ""C.A Stein"", ""C. Stein"", ""C. A. Stein"", ""Christian Alexander Stein""]",103,4698,4210167353.0,5075723628,2024-02-21T09:32:12.679484
5066389004,,W. F. H. M. Mommaerts,"[""Wilfried F. H. M. Mommaerts"", ""W. F. Mommaerts"", ""W.F.H.M Mommaerts"", ""W. F. H. M. Mommaerts"", ""Wilfried F. Mommaerts"", ""Wilfried Francis Henry Maria Mommaerts""]",153,4697,161318765.0,5066389004,2024-02-21T10:03:58.516974
5005363995,,Ronald F. Young,"[""R. F. Young"", ""Ronald Young"", ""R. Young"", ""Ronald F. Young""]",149,4696,4210087306.0,5005363995,2024-02-21T18:02:59.096260
5068485943,,Dan Dill,"[""D B Dill"", ""Dan Dill"", ""D. Dill""]",99,4696,111088046.0,5068485943,2024-02-21T22:24:46.800084
5051924943,,T. M. Fulton,"[""Theresa Fulton"", ""T. M. Fulton"", ""Theresa M. Fulton"", ""T. Fulton""]",23,4691,205783295.0,5051924943,2024-02-21T09:43:00.712298
5017719790,0000-0002-1693-9392,Irina V. Lebedeva,"[""I Lebedeva"", ""Irina V. Lebedeva"", ""Irina Lebedeva"", ""I. V. Lebedeva""]",80,4671,4210153054.0,5017719790,2024-02-21T20:10:13.678604
5084785027,,Robin Ireland,"[""R. Ireland"", ""R. M. Ireland"", ""Robin Martin Ireland"", ""Robin Ireland"", ""Robin M. Ireland""]",120,4666,4210111135.0,5084785027,2024-02-21T12:19:38.106122
5052965284,0000-0001-8995-1088,Thomas C. Pochapsky,"[""Thomas Pochapsky"", ""T. Pochapsky"", ""Thomas Charles Pochapsky"", ""T. C. Pochapsky"", ""Thomas C. Pochapsky""]",158,4664,6902469.0,5052965284,2024-02-21T04:58:39.863746
5013318251,0000-0001-7494-7780,W. F. Wang,"[""Weidi Wang"", ""W. F. Wang""]",123,4662,133738476.0,5013318251,2024-02-21T18:13:12.885165
5090936894,0000-0002-9061-4350,Ghenwa Bouhadir,"[""Ghenwa Bouhadir"", ""G. Bouhadir""]",111,4655,4210135875.0,5090936894,2024-02-21T16:54:11.285178
5000942206,,Phyllis M. Starkey,"[""Phyllis Starkey"", ""P M. Starkey"", ""Philip Alexander Starkey"", ""P. Starkey"", ""P. M. Starkey"", ""Phyllis M. Starkey""]",72,4652,204337017.0,5000942206,2024-02-21T16:54:43.068479
5001149760,,Mick N. Mulders,"[""Mick Norman Mulders"", ""Mick N. Mulders"", ""Mick. N. Mulders"", ""Mick Mulders"", ""M. N. Mulders"", ""M. Mulders"", ""M.N Mulders""]",96,4629,4210105654.0,5001149760,2024-02-21T09:51:03.991794
