institution_id,associated_institution_id,relationship
4210151660,125866687,child
4210146647,4210115964,parent
4210145291,137594350,parent
4210161408,885143765,parent
4210101877,169729158,related
4210147377,4210145492,parent
4210107027,4210125406,parent
4210128918,199157343,parent
4210091985,2801227970,parent
4210149196,4210161025,child
4210116233,4210120099,parent
4210128516,878931444,child
4210128516,2799969069,child
4210128516,2802618136,child
4210128516,211887122,child
4210128516,4210103382,child
4210128516,2799392499,child
2897726969,2799808293,parent
4210150776,4210145759,parent
4210166796,136150977,parent
4210148308,4210099552,parent
4210112210,889804353,parent
4210158463,4210166995,child
888064236,4210153223,parent
4210091561,2802827176,parent
4210138281,2802598605,parent
4210087757,4210088125,parent
4210144114,4210150086,parent
4210151267,4210110172,parent
4210124390,2801444876,parent
4210103569,863118367,parent
4210143714,2251713219,parent
4210157589,919803642,parent
4210131108,199157343,parent
4210094004,4210121491,parent
4210097483,1313323035,parent
4210101730,46603895,parent
4210113844,149851306,parent
3133271633,4210140094,related
4210113523,4210156165,parent
4210162549,2801380292,parent
4210110407,4210148268,parent
4210152707,4210135008,parent
4210126131,4210161012,parent
4210111089,199157343,parent
4210138651,4210099657,parent
4210091165,4210119581,parent
2802783220,4210117194,related
4210087276,4210097244,parent
4210103455,4210131825,parent
4210113280,83790135,parent
4210121207,199157343,parent
4210114020,4210127145,parent
4210162716,170138621,parent
4210141259,4210136063,parent
4210127652,1343052199,parent
4210122115,199157343,parent
4210128960,199157343,parent
4210139634,4210122263,child
4210149963,4210160624,child
4210149963,154526488,parent
2801820245,4210124779,parent
2801820245,143302722,parent
4210087977,4210148570,child
4210088011,215048945,parent
4210090155,4210138520,parent
4210099559,4210108817,parent
4210109417,2800207309,child
4210109417,2800369400,child
4210109417,4210151177,parent
4210113585,4210140011,child
4210113585,4210130338,child
4210114584,199157343,parent
4210116153,199157343,parent
4210129638,199157343,parent
4210125260,73305655,parent
4210146360,1343312335,parent
4210139309,4210088503,parent
4210149739,4210096940,parent
4210151694,2802965805,parent
4210130190,4210132111,parent
4210143766,4210107056,parent
4210104659,4210111617,parent
4210125068,4210095782,parent
114102164,41639379,parent
114102164,4210142638,parent
4210125083,4210110412,parent
4210125083,140494188,parent
4210138773,4210148038,parent
4210119480,4210106680,parent
4210127592,4210113051,child
4210158282,4210104857,parent
4210105395,286970279,parent
4210134524,4210102981,parent
4210106233,51579864,parent
4210155206,1341412227,parent
4210088527,4210108778,parent
4210137203,4210166758,parent
4210110375,4210146249,child
