work_id,source_id,landing_page_url,pdf_url,is_oa,version,license
2051192594,4306400562,record/1816902,records/1816902/files/article.pdf,True,submittedVersion,public-domain
2051192885,62468778,10.1056/nejm193408232110802,,False,,
2051193728,4210169755,10.1007/bf03224424,,False,,
2051194448,992069473,10.1089/ped.2011.0100,,False,,
2051194448,4306525036,35927872,,False,,
2051194752,5303612,10.1016/s0001-2092(07)63068-3,,False,,
2051194752,4306525036,6923718,,False,,
2051194941,2764696622,10.1063/1.3460125,,False,,
2051194941,4306402487,biblio/1114752,,True,submittedVersion,
2051194941,4306400792,ark:/67531/metadc870450/,ark:/67531/metadc870450/m2/1/high_res_d/1114752.pdf,True,submittedVersion,
2051195062,179591353,10.1016/s0094-5765(00)00091-6,,False,,
2051196023,4210170889,10.1093/elt/xxxiii.4.304,,False,,
2051196445,167203149,10.1002/qua.560130315,,False,,
2051196966,117684900,10.1007/bf02939044,,False,,
2051196966,4306525036,27518988,,False,,
2051197126,163495685,10.2307/3395873,,False,,
2051197174,182038535,10.1016/s1076-6332(03)80022-3,,False,,
2051197174,4306525036,12678173,,False,,
2051197413,121986758,10.1007/bf00627330,,False,,
2051198808,135745533,10.1377/hlthaff.25.4.1127,,True,publishedVersion,
2051198808,4306525036,16835195,,False,,
2051199660,11296630,10.1121/1.2028193,,False,,
2051199721,2754477854,10.4103/0259-1162.154048,,False,,
2051199721,4306400806,articles/pmc4563980,,True,publishedVersion,cc-by-nc-sa
2051199721,2764455111,pmc/articles/PMC4563980,,True,acceptedVersion,
2051199721,4306525036,26417141,,False,,
2051200648,31010182,10.1063/1.1745647,aip/rsi/article-pdf/21/6/554/8335653/554_1_online.pdf,True,publishedVersion,
2051200648,4306402431,2027/mdp.39015086446047,,True,submittedVersion,public-domain
2051200648,4306525036,15430658,,False,,
2051201179,50876694,10.1177/053901847401300607,,False,,
2051201651,183492911,10.1117/12.143505,,False,,
2051201833,39223014,10.1007/bf00162494,,False,,
2051202336,191935395,10.1016/s0920-3796(89)80122-x,,False,,
2051202427,4210213378,10.1007/bf02377890,,False,,
2051202558,2756225581,10.3109/08039488909107857,,False,,
2051202794,91321807,10.1075/rein.20.11wil,,False,,
2051203106,24190753,servlet/articulo?codigo=3231794,,False,,
2051203244,4306497284,10.2514/6.1977-161,,False,,
2051203478,165361988,10.1007/bf02319078,,False,,
2051205938,2764696622,10.1063/1.4826852,,False,,
2051206001,2736520405,10.4103/0257-7941.123835,,True,publishedVersion,cc-by-nc-sa
2051206001,2764455111,pmc/articles/PMC4147490,,True,acceptedVersion,
2051206521,182159023,10.1086/459909,,False,,
2051207160,68686220,10.1109/jproc.2002.808151,,False,,
2051207431,4210180992,10.7202/000854ar,fr/revues/as/1977-v1-n2-as482/000854ar.pdf,True,publishedVersion,
2051207645,137419829,10.1016/0165-5728(89)90098-2,,False,,
2051207645,4306525036,2509516,,False,,
2051207913,177770778,10.1007/bf01760330,content/pdf/10.1007/BF01760330.pdf,True,publishedVersion,
2051208169,84376829,10.1134/1.1258705,,False,,
2051208216,125754415,10.1073/pnas.8.6.133,,False,,
2051208216,4306400806,articles/pmc1085049,articles/pmc1085049?pdf=render,True,publishedVersion,
2051208216,2764455111,pmc/articles/PMC1085049,,True,publishedVersion,
2051208216,4306525036,16576639,,False,,
2051209215,195714098,10.1111/j.1600-0420.2007.01062_3456.x,,False,,
2051209437,201145208,10.1108/09540910010331400,,False,,
2051209437,4306402487,biblio/751225,,True,submittedVersion,
2051209437,4306400792,ark:/67531/metadc702887/,ark:/67531/metadc702887/m2/1/high_res_d/751225.pdf,True,submittedVersion,
2051210832,128754310,10.4028/www.scientific.net/amm.548-549.1217,,False,,
2051211026,108264783,10.1016/s1387-3806(01)00361-x,,False,,
2051211043,66322279,10.1177/104345429301000308,,False,,
2051211043,4306525036,8397970,,False,,
2051211688,165396890,10.1016/j.clineuro.2014.07.032,,False,,
2051211688,4306525036,25128656,,False,,
2051211866,160957154,10.1016/0040-6031(87)88050-4,,False,,
2051212641,62916020,10.1097/01.ten.0000218511.86762.0c,,False,,
2051214037,4210174969,10.1243/jmes_jour_1968_010_064_02,,False,,
