concept_id,openalex,wikidata,wikipedia,umls_aui,umls_cui,mag
134306372,134306372,7754,Mathematical%20analysis,,,134306372
170493617,170493617,208467,Receptor%20%28biochemistry%29,,"[""C0034800""]",170493617
77805123,77805123,161272,Social%20psychology,,"[""C0033919""]",77805123
41895202,41895202,8162,Linguistics,,"[""C0023741""]",41895202
99454951,99454951,932068,Environmental%20health,,"[""C0014413""]",99454951
161790260,161790260,82264,Catalysis,,"[""C0243102""]",161790260
181199279,181199279,8047,Enzyme,,"[""C0014442""]",181199279
191897082,191897082,11467,Metallurgy,,"[""C0025551""]",191897082
147789679,147789679,11372,Physical%20chemistry,,"[""C0008004""]",147789679
2779134260,2779134260,12136,Disease,,"[""C0012634""]",2779134260
42360764,42360764,83588,Chemical%20engineering,,"[""C0007980""]",42360764
121608353,121608353,12078,Cancer,,"[""C0006826""]",121608353
111472728,111472728,9471,,,"[""C0376553""]",111472728
111919701,111919701,9135,Operating%20system,,"[""C1709324""]",111919701
59822182,59822182,441,Botany,,"[""C0006038""]",59822182
49040817,49040817,193091,Optoelectronics,,,49040817
11413529,11413529,8366,Algorithm,,"[""C0002045""]",11413529
153911025,153911025,7202,,,"[""C0026376""]",153911025
149923435,149923435,37732,Demography,,"[""C0011298""]",149923435
166957645,166957645,23498,Archaeology,,"[""C0003733""]",166957645
119599485,119599485,43035,Electrical%20engineering,,"[""C0334748""]",119599485
78519656,78519656,101333,Mechanical%20engineering,,,78519656
502942594,502942594,3421914,Cancer%20research,,"[""C1516225""]",502942594
136764020,136764020,466,World%20Wide%20Web,,"[""C0282111""]",136764020
105702510,105702510,514,Anatomy,,"[""C0700276""]",105702510
119857082,119857082,2539,Machine%20learning,,"[""C0376284""]",119857082
98274493,98274493,128406,Pharmacology,,"[""C0031330""]",98274493
76155785,76155785,418,Telecommunications,,"[""C0039449""]",76155785
89423630,89423630,7193,Microbiology,,"[""C0025953""]",89423630
8010536,8010536,160398,Crystallography,,"[""C0010424""]",8010536
523546767,523546767,10876,Bacteria,,"[""C0004611""]",523546767
204787440,204787440,188504,Alternative%20medicine,,"[""C0002346""]",204787440
94625758,94625758,7163,Politics,,"[""C0032382""]",94625758
10138342,10138342,43015,Finance,,"[""C0243098""]",10138342
111368507,111368507,43518,Oceanography,,"[""C0028813""]",111368507
26873012,26873012,214781,Condensed%20matter%20physics,,,26873012
521977710,521977710,81163,Polymer,,"[""C0032521""]",521977710
179104552,179104552,11165,Inorganic%20chemistry,,"[""C0008001""]",179104552
202751555,202751555,221681,In%20vitro,,"[""C3850137""]",202751555
70721500,70721500,177005,Computational%20biology,,"[""C0376528""]",70721500
159047783,159047783,7215,Virology,,"[""C0205466""]",159047783
126838900,126838900,77604,Radiology,,"[""C0260194""]",126838900
138496976,138496976,175002,Developmental%20psychology,,"[""C1511810""]",138496976
164705383,164705383,10379,,,"[""C0175906""]",164705383
57879066,57879066,41217,Mechanics,,"[""C0376706""]",57879066
202444582,202444582,837863,Pure%20mathematics,,,202444582
113196181,113196181,485223,Analytical%20Chemistry%20%28journal%29,,"[""C0007998""]",113196181
95457728,95457728,309,History,,"[""C0019664""]",95457728
70410870,70410870,199906,Clinical%20psychology,,"[""C0237412""]",70410870
2779343474,2779343474,3109175,Glossary%20of%20archaeology,,"[""C0449255""]",2779343474
161191863,161191863,199655,Library%20science,,"[""C0023630""]",161191863
12554922,12554922,7100,Biophysics,,"[""C0005553""]",12554922
31903555,31903555,1637030,Food%20science,,"[""C0920526""]",31903555
8891405,8891405,1059,Immune%20system,,"[""C0020964""]",8891405
142362112,142362112,735,Art,,"[""C0003826""]",142362112
1276947,1276947,333,,,"[""C0004117""]",1276947
153294291,153294291,25261,Meteorology,,"[""C0025595""]",153294291
17525397,17525397,176140,Electrode,,"[""C0013812""]",17525397
180747234,180747234,23373,Cognitive%20psychology,,"[""C0678963""]",180747234
71240020,71240020,186011,Stereochemistry,,"[""C0677040""]",71240020
50522688,50522688,189833,Economic%20growth,,"[""C0013552""]",50522688
24890656,24890656,82811,Acoustics,,"[""C0001166""]",24890656
159110408,159110408,121176,Nursing,,"[""C0028678""]",159110408
169900460,169900460,2200417,Cognition,,"[""C0009240""]",169900460
36289849,36289849,34749,Social%20science,,"[""C0037434""]",36289849
2778805511,2778805511,1713,Citation,,"[""C0552371""]",2778805511
42219234,42219234,131130,Anesthesia,,"[""C0002903""]",42219234
78458016,78458016,840400,Evolutionary%20biology,,,78458016
114614502,114614502,76592,Combinatorics,,,114614502
150194340,150194340,26972,Gene%20expression,,"[""C0017262""]",150194340
162853370,162853370,39809,Marketing,,"[""C0024826""]",162853370
38652104,38652104,3510521,Computer%20security,,"[""C0085097""]",38652104
184779094,184779094,26383,Atomic%20physics,,,184779094
163258240,163258240,25342,Power%20%28physics%29,,"[""C3854080""]",163258240
145148216,145148216,36496,Ion,,"[""C0022023""]",145148216
31258907,31258907,1301371,Computer%20network,,"[""C0596355""]",31258907
32909587,32909587,11369,Molecule,,"[""C0567416""]",32909587
1491633281,1491633281,7868,Cell%20%28biology%29,,"[""C0007634""]",1491633281
90924648,90924648,120569,Gastroenterology,,"[""C0259901""]",90924648
159654299,159654299,79460,Antibody,,"[""C0021027""]",159654299
1862650,1862650,186005,,,"[""C2362565""]",1862650
139719470,139719470,39680,Macroeconomics,,,139719470
177713679,177713679,679690,Intensive%20care%20medicine,,"[""C1319411""]",177713679
552990157,552990157,7430,DNA,,"[""C0018099""]",552990157
6557445,6557445,173113,Agronomy,,,6557445
107872376,107872376,321355,Environmental%20chemistry,,,107872376
41625074,41625074,176088,Membrane,,"[""C0596901""]",41625074
187212893,187212893,123028,Pediatrics,,"[""C0030755""]",187212893
62478195,62478195,828130,Signal%20transduction,,"[""C0037083""]",62478195
23123220,23123220,816826,Information%20retrieval,,"[""C0021427""]",23123220
31972630,31972630,844240,Computer%20vision,,"[""C0009617""]",31972630
44249647,44249647,208498,Confidence%20interval,,"[""C0009667""]",44249647
126255220,126255220,141495,Mathematical%20optimization,,,126255220
149782125,149782125,160039,Econometrics,,"[""C0680954""]",149782125
2779234561,2779234561,11995,Pregnancy,,"[""C0032961""]",2779234561
185544564,185544564,81197,Nuclear%20physics,,"[""C0028585""]",185544564
2522874641,2522874641,808,Virus,,"[""C0042776""]",2522874641
124101348,124101348,172491,Data%20mining,,"[""C1328866""]",124101348
143998085,143998085,162555,Oncology,,"[""C0259990""]",143998085
74650414,74650414,11397,Classical%20mechanics,,"[""C1516594""]",74650414
187736073,187736073,2920921,Management,,"[""C0376636""]",187736073
187320778,187320778,1349130,Geotechnical%20engineering,,,187320778
2775924081,2775924081,55608371,Control%20%28management%29,,"[""C0009932""]",2775924081
150394285,150394285,180254,Adsorption,,"[""C0350056""]",150394285
66938386,66938386,633538,Structural%20engineering,,,66938386
90856448,90856448,431,Zoology,,"[""C0043526""]",90856448
542102704,542102704,183257,Psychotherapy,,"[""C0033968""]",542102704
188027245,188027245,750446,Polymer%20chemistry,,"[""C1514206""]",188027245
86339819,86339819,407384,Transcription%20factor,,"[""C0040648""]",86339819
2779227376,2779227376,6505497,Layer%20%28electronics%29,,"[""C0934502""]",2779227376
44870925,44870925,37547,Astrophysics,,,44870925
115961682,115961682,860623,Image%20%28mathematics%29,,"[""C1704922""]",115961682
555293320,555293320,12206,Diabetes,,"[""C0011860""]",555293320
98045186,98045186,205663,Process%20%28computing%29,,"[""C1522240""]",98045186
512399662,512399662,3505712,Family%20medicine,,"[""C1704221""]",512399662
2776914184,2776914184,101991,Inflammation,,"[""C0021368""]",2776914184
150903083,150903083,7108,Biotechnology,,"[""C0005574""]",150903083
28826006,28826006,33521,Applied%20mathematics,,,28826006
177264268,177264268,1514741,Set%20%28abstract%20data%20type%29,,"[""C0179658""]",177264268
121864883,121864883,677916,Statistical%20physics,,,121864883
153180895,153180895,7148389,Pattern%20recognition%20%28psychology%29,,"[""C1518918""]",153180895
143065580,143065580,3285695,Mutant,,"[""C0596988""]",143065580
75473681,75473681,188651,Photochemistry,,"[""C0031739""]",75473681
104779481,104779481,50707,Composite%20number,,"[""C0205199""]",104779481
155672457,155672457,61231,Nanoparticle,,"[""C1450054""]",155672457
147120987,147120987,2225,Electron,,"[""C0013852""]",147120987
19417346,19417346,7922,Pedagogy,,"[""C1510624""]",19417346
141231307,141231307,7020,Genome,,"[""C0017428""]",141231307
74909509,74909509,10387,Gerontology,,"[""C0205767""]",74909509
168563851,168563851,1436668,,,"[""C0206034""]",168563851
52859227,52859227,7877,Electrochemistry,,"[""C0013803""]",52859227
67705224,67705224,11053,RNA,,"[""C0035668""]",67705224
175444787,175444787,39072,Microeconomics,,,175444787
190283241,190283241,14599311,Apoptosis,,"[""C0162638""]",190283241
165801399,165801399,25428,Voltage,,"[""C0598352""]",165801399
145420912,145420912,853077,Mathematics%20education,,"[""C0870859""]",145420912
84393581,84393581,82642,Blood%20pressure,,"[""C0005823""]",84393581
146978453,146978453,3798668,Aerospace%20engineering,,"[""C0334760""]",146978453
60644358,60644358,128570,Bioinformatics,,"[""C1140694""]",60644358
21951064,21951064,899212,Combinatorial%20chemistry,,"[""C0872027""]",21951064
14036430,14036430,3736076,Function%20%28biology%29,,"[""C3714634""]",14036430
505870484,505870484,180538,Fishery,,"[""C0016162""]",505870484
544153396,544153396,11426,Metal,,"[""C2986473""]",544153396
71315377,71315377,11364,Hormone,,"[""C0019932""]",71315377
39549134,39549134,133080,Public%20relations,,"[""C0034034""]",39549134
13965031,13965031,243545,Nuclear%20chemistry,,"[""C0260190""]",13965031
158622935,158622935,660848,Nonlinear%20system,,"[""C0206166""]",158622935
520434653,520434653,38867,Laser,,"[""C0023089""]",520434653
518677369,518677369,202833,Social%20media,,"[""C3179065""]",518677369
19165224,19165224,23404,Anthropology,,"[""C0003184""]",19165224
515207424,515207424,8066,Amino%20acid,,"[""C0002520""]",515207424
159467904,159467904,2001702,Chemical%20physics,,,159467904
61511704,61511704,1671857,Incidence%20%28geometry%29,,"[""C0021149""]",61511704
44280652,44280652,104837,,,"[""C0205390""]",44280652
548081761,548081761,180388,Waste%20management,,"[""C0242716""]",548081761
147597530,147597530,369472,Computational%20chemistry,,"[""C0872134""]",147597530
207001950,207001950,141124,In%20vivo,,"[""C1515655""]",207001950
24326235,24326235,126095,Electronic%20engineering,,"[""C0334749""]",24326235
26760741,26760741,160402,Perception,,"[""C0030971""]",26760741
184651966,184651966,906356,Aqueous%20solution,,"[""C0597682""]",184651966
47446073,47446073,5165890,Control%20theory%20%28sociology%29,,,47446073
77088390,77088390,8513,Database,,"[""C0993637""]",77088390
529278444,529278444,47273,Central%20nervous%20system,,"[""C3714787""]",529278444
530470458,530470458,128581,Breast%20cancer,,"[""C0006142""]",530470458
56739046,56739046,192060,Knowledge%20management,,"[""C0687753""]",56739046
147483822,147483822,103537,Antigen,,"[""C0003320""]",147483822
2778447006,2778447006,1156474,Icon%20%28programming%20language%29,,"[""C0243020""]",2778447006
9652623,9652623,190109,Field%20%28mathematics%29,,"[""C1521738""]",9652623
115260700,115260700,11408,Magnetic%20field,,"[""C0563533""]",115260700
28328180,28328180,48196,Stem%20cell,,"[""C0038250""]",28328180
160735492,160735492,31207,Health%20care,,"[""C0086388""]",160735492
18762648,18762648,42213,Work%20%28physics%29,,"[""C0043227""]",18762648
2522767166,2522767166,2374463,Data%20science,,"[""C4704771""]",2522767166
